date,pm2.5,Average of Temperature,Average of Humidity,Average of Wind_speed
2-May-2022,2.815619577,32.73094759,61.12398473,0.052676154
3-May-2022,4.566814712,32.37010756,56.48560028,0.065246357
4-May-2022,7.536993056,33.93305556,55.92534722,0.050232639
5-May-2022,14.01108643,36.29883721,54.85701493,0.056976744
6-May-2022,10.7087301,36.32897232,58.83192388,0.199363322
7-May-2022,6.525174801,34.7311388,64.70372101,0.180252683
8-May-2022,6.337574189,34.55004486,63.90525535,0.303978606
9-May-2022,4.855512111,36.52251903,59.24390311,0.526771626
10-May-2022,4.312456687,35.201386,64.04235274,0.082855163
11-May-2022,5.300576061,36.97847189,59.80133839,0.134849948
12-May-2022,10.00925888,37.56533954,60.18102378,0.106914857
13-May-2022,11.72004494,39.12352921,55.62353267,0.158689941
14-May-2022,14.27993421,39.52766967,56.05565097,0.06575831
15-May-2022,11.47440707,37.12717406,61.28221567,0.080877254
16-May-2022,9.373435667,35.58650914,64.29194205,0.256843739
17-May-2022,5.417202216,36.25210526,60.68608726,0.18501385
18-May-2022,4.491477747,35.90837274,61.98277469,0.133445758
19-May-2022,6.01710988,32.70910434,69.60077562,0.090507849
