date, pm25
24-May-2022-11 AM,4.71
24-May-2022-12 PM,4.78
24-May-2022-1 PM,6.17
24-May-2022-2 PM,4.39
24-May-2022-3 PM,4.11
24-May-2023-4 PM,4.43
24-May-2024-5 PM,5.24
24-May-2025-6 PM,5.22
24-May-2026-7 PM,4.58
24-May-2027-8 PM,3.29
24-May-2028-9 PM,2.67
24-May-2029-10 PM,2.99
24-May-2030-11 PM,3.48
25-May-2022-12 AM,4.04
25-May-2022-1 AM,4.6
25-May-2022-2 AM,4.49
25-May-2022-3 AM,4.64
25-May-2022-4 AM,5.44
25-May-2022-5 AM,5.73
25-May-2022-6 AM,6.12
25-May-2022-7 AM,6.23
25-May-2022-8 AM,6.62
25-May-2022-9 AM,8.08
25-May-2022-10 AM,10.39
25-May-2022-11 AM,8.19
25-May-2022-12 PM,6.23
25-May-2022-1 PM,6.89
25-May-2022-2 PM,6.72
25-May-2022-3 PM,7.39
25-May-2022-4 PM,8.1
25-May-2022-5 PM,7.97
25-May-2022-6 PM,10.25
25-May-2022-7 PM,13.26
25-May-2022-8 PM,9.85
25-May-2022-9 PM,6.16
25-May-2022-10 PM,1.65
25-May-2022-11 PM,1.84
26-May-2022-12 AM,2.74
26-May-2022-1 AM,2.28
26-May-2022-2 AM,2.3
26-May-2022-3 AM,2.5
26-May-2022-4 AM,2.32
26-May-2022-5 AM,2.1
26-May-2022-6 AM,2.09
26-May-2022-7 AM,1.99
26-May-2022-8 AM,2.77
26-May-2022-9 AM,4.44
26-May-2022-10 AM,5.17
26-May-2022-11 AM,8.64
26-May-2022-12 PM,6.38
26-May-2022-1 PM,4.09
26-May-2022-2 PM,4.15
26-May-2022-3 PM,
26-May-2022-4 PM,
26-May-2022-5 PM,
26-May-2022-6 PM,
26-May-2022-7 PM,
26-May-2022-8 PM,
26-May-2022-9 PM,
26-May-2022-10 PM,
26-May-2022-11 PM,
27-May-2022-12 AM,
27-May-2022-1 AM,
27-May-2022-2 AM,
27-May-2022-3 AM,
27-May-2022-4 AM,
27-May-2022-5 AM,
27-May-2022-6 AM,
27-May-2022-7 AM,
27-May-2022-8 AM,
27-May-2022-9 AM,
27-May-2022-10 AM,
27-May-2022-11 AM,
27-May-2022-12 PM,
27-May-2022-1 PM,
27-May-2022-2 PM,
27-May-2022-3 PM,
